  { 0x480, 0x0001, 0x0000},  // FEHLERMELDUNG: 0
  { 0x480, 0x0005, 0x00d2},  // RAUMSOLLTEMP_I: 21.0
  { 0x480, 0x0006, 0x00c8},  // RAUMSOLLTEMP_II: 20.0
  { 0x480, 0x0007, 0x00c8},  // RAUMSOLLTEMP_III: 20.0
  { 0x480, 0x0008, 0x00be},  // RAUMSOLLTEMP_NACHT: 19.0
  { 0x480, 0x0009, 0x3712},  // UHRZEIT: 18:55
  { 0x480, 0x0013, 0x01f4},  // EINSTELL_SPEICHERSOLLTEMP: 50.0
  { 0x480, 0x0022, 0x0032},  // HYSTERESEZEIT: 5.0
  { 0x480, 0x0026, 0x0014},  // SPERRZEIT: 20
  { 0x480, 0x0028, 0x0190},  // MAX_TEMP_KESSEL: 40.0
  { 0x480, 0x002b, 0x6400},  // TN: 100
  { 0x480, 0x0059, 0x0100},  // HEIZKREIS_STATUS: 1
  { 0x480, 0x00fe, 0x0100},  // INITIALISIERUNG: 1
  { 0x480, 0x0101, 0x0000},  // ANTILEGIONELLEN: 0
  { 0x480, 0x0109, 0x0000},  // RAUMFUEHLERKORREKTUR: 0
  { 0x480, 0x010e, 0x0032},  // HEIZKURVE: 0.50
  { 0x480, 0x010f, 0x0500},  // RAUMEINFLUSS: 1280
  { 0x480, 0x011a, 0x0000},  // ESTRICHFUNKTION: 0
  { 0x480, 0x011b, 0x0100},  // FERIENANFANG_TAG: 1
  { 0x480, 0x011c, 0x0100},  // FERIENANFANG_MONAT: 1
  { 0x480, 0x011d, 0x0d00},  // FERIENANFANG_JAHR: 13
  { 0x480, 0x011e, 0x0100},  // FERIENENDE_TAG: 1
  { 0x480, 0x011f, 0x0100},  // FERIENENDE_MONAT: 1
  { 0x480, 0x0120, 0x0d00},  // FERIENENDE_JAHR: 13
  { 0x480, 0x0121, 0x0600},  // WOCHENTAG: 6
  { 0x480, 0x0122, 0x1500},  // TAG: 21
  { 0x480, 0x0123, 0x0c00},  // MONAT: 12
  { 0x480, 0x0124, 0x1800},  // JAHR: 24
  { 0x480, 0x0125, 0x1200},  // STUNDE: 18
  { 0x480, 0x0126, 0x3a00},  // MINUTE: 58
  { 0x480, 0x0127, 0x2a00},  // SEKUNDE: 42
  { 0x480, 0x0183, 0x0001},  // FERNBEDIENUNGSZUORDNUNG: 1
  { 0x480, 0x0199, 0x0187},  // SOFTWARE_NUMMER: 391
  { 0x480, 0x019a, 0x0008},  // SOFTWARE_VERSION: 8
  { 0x480, 0x01a2, 0x01b7},  // MAX_WASSERDRUCK: 439
  { 0x480, 0x01ac, 0xff42},  // BIVALENTPARALLELTEMPERATUR_HZG: -19.0
  { 0x480, 0x01ad, 0xff42},  // BIVALENTPARALLELTEMPERATUR_WW: -19.0
  { 0x480, 0x01ae, 0xfe6b},  // BIVALENZALTERNATIVTEMPERATUR_HZG: -40.5
  { 0x480, 0x01af, 0xfe6b},  // BIVALENZALTERNATIVTEMPERATUR_WW: -40.5
  { 0x480, 0x01b0, 0xffc4},  // QUELLENSOLLTEMPERATUR: -6.0
  { 0x480, 0x01b1, 0x0014},  // SOLLTEMP_ANZEIGE_0_1: 20
  { 0x480, 0x01b2, 0x0020},  // SOLLTEMP_ANZEIGE_0_2: 32
  { 0x480, 0x01b3, 0x0027},  // SOLLTEMP_ANZEIGE_0_3: 39
  { 0x480, 0x01b4, 0x0014},  // SOLLTEMP_ANZEIGE_1_1: 20
  { 0x480, 0x01b5, 0x0018},  // SOLLTEMP_ANZEIGE_1_2: 24
  { 0x480, 0x01b6, 0x001a},  // SOLLTEMP_ANZEIGE_1_3: 26
  { 0x480, 0x01b7, 0x0032},  // AUSSENTEMPERATUR_WARMWASSER: 5.0
  { 0x480, 0x01ba, 0x0001},  // ESTRICH_STEIGUNG_PRO_TAG: 1
  { 0x480, 0x01bb, 0x00fa},  // ESTRICH_SOCKELTEMPERATUR: 25.0
  { 0x480, 0x01bc, 0x0002},  // ESTRICH_HALTEN_SOCKELTEMPERATUR: 2
  { 0x480, 0x01bd, 0x0190},  // ESTRICH_MAX_TEMPERATUR: 40.0
  { 0x480, 0x01be, 0x0000},  // ESTRICH_HALTEN_MAX_TEMPERATUR: 0
  { 0x480, 0x01bf, 0x00be},  // SW_AUSSENTEMP: 19.0
  { 0x480, 0x01c0, 0x0000},  // FESTWERT: 0
  { 0x480, 0x01cc, 0x0465},  // STILLSTANDZEIT_0: 1125
  { 0x480, 0x01e8, 0x01c2},  // MAX_HEIZUNG_TEMP: 45.0
  { 0x480, 0x0259, 0x0000},  // LAUFZEIT_DHC1: 0
  { 0x480, 0x025a, 0x0000},  // LAUFZEIT_DHC2: 0
  { 0x480, 0x025b, 0x0000},  // GEBLAESEKUEHLUNG: 0
  { 0x480, 0x025c, 0x0096},  // VORLAUFSOLL_GEBLAESE: 15.0
  { 0x480, 0x025d, 0x00fa},  // RAUMSOLL_GEBLAESE: 25.0
  { 0x480, 0x025e, 0x0032},  // HYSTERESE_GEBLAESE: 5.0
  { 0x480, 0x025f, 0x0001},  // FLAECHENKUEHLUNG: 1
  { 0x480, 0x0260, 0x00aa},  // VORLAUFSOLL_FLAECHE: 17.0
  { 0x480, 0x0261, 0x00f0},  // RAUMSOLL_FLAECHE: 24.0
  { 0x480, 0x0262, 0x0028},  // HYSTERESE_FLAECHE: 40
  { 0x480, 0x0263, 0x0000},  // WWKORREKTUR: 0
  { 0x480, 0x0287, 0x0000},  // KUEHLMODE: 0
  { 0x480, 0x0288, 0x000a},  // KUEHLDYNAMIK_FLAECHE: 10
  { 0x480, 0x0289, 0x000a},  // KUEHLDYNAMIK_GEBLAESE: 10
  { 0x480, 0x0294, 0x003b},  // WE1_TYP: 59
  { 0x480, 0x02f3, 0x0300},  // ANFORDERUNG_NACHHEIZUNG: 768
  { 0x480, 0x0640, 0x00df},  // ZWISCHENEINSPRITZUNG_ISTTEMP_VND: 223
  { 0x480, 0x0641, 0x0063},  // TEST_OBJEKT_0: 99
  { 0x480, 0x0642, 0x09af},  // TEST_OBJEKT_1: 2479
  { 0x480, 0x0643, 0xfe70},  // TEST_OBJEKT_2: -400
  { 0x480, 0x0649, 0x0005},  // TEST_OBJEKT_8: 5
  { 0x480, 0x0658, 0x0000},  // TEST_OBJEKT_23: 0
  { 0x480, 0x0659, 0x0000},  // TEST_OBJEKT_24: 0
  { 0x480, 0x065a, 0x0000},  // TEST_OBJEKT_25: 0
  { 0x480, 0x0668, 0x000c},  // TEST_OBJEKT_39: 12
  { 0x480, 0x0669, 0x0000},  // TEST_OBJEKT_40: 0
  { 0x480, 0x0679, 0x0000},  // TEST_OBJEKT_56: 0
  { 0x480, 0x068e, 0x0014},  // TEST_OBJEKT_77: 20
  { 0x480, 0x0691, 0x006d},  // TEST_OBJEKT_80: 109
  { 0x480, 0x0692, 0x0000},  // TEST_OBJEKT_81: 0
  { 0x480, 0x0693, 0x0000},  // TEST_OBJEKT_82: 0
  { 0x480, 0x069e, 0x0187},  // TEST_OBJEKT_93: 391
  { 0x480, 0x06a4, 0x0001},  // TEST_OBJEKT_99: 1
  { 0x480, 0x06ae, 0x0000},  // TEST_OBJEKT_109: 0
  { 0x480, 0x0706, 0x0001},  // TEST_OBJEKT_197: 1
  { 0x480, 0x0708, 0x7b47},  // TEST_OBJEKT_199: 31559
  { 0x480, 0x0709, 0x0001},  // TEST_OBJEKT_200: 1
  { 0x480, 0x070a, 0x0062},  // TEST_OBJEKT_201: 98
  { 0x480, 0x070b, 0x005a},  // TEST_OBJEKT_202: 90
  { 0x480, 0x070c, 0x0050},  // TEST_OBJEKT_203: 80
  { 0x480, 0x070d, 0x0000},  // TEST_OBJEKT_204: 0
  { 0x480, 0x070e, 0x0000},  // TEST_OBJEKT_205: 0
  { 0x480, 0x0733, 0x0000},  // TEST_OBJEKT_242: 0
  { 0x480, 0x0734, 0x0001},  // TEST_OBJEKT_243: 1
  { 0x480, 0x0735, 0x0000},  // TEST_OBJEKT_244: 0
  { 0x480, 0x0736, 0x0000},  // TEST_OBJEKT_245: 0
  { 0x480, 0x0737, 0x0000},  // TEST_OBJEKT_246: 0
  { 0x480, 0x0738, 0x0000},  // TEST_OBJEKT_247: 0
  { 0x480, 0x0739, 0x0000},  // TEST_OBJEKT_248: 0
  { 0x480, 0x07a4, 0x0049},  // MESSSTROM_HOCHDRUCK: 73
  { 0x480, 0x07fc, 0x14b8},  // LZ_VERD_1_HEIZBETRIEB: 5.304
